id,title,budget,revenue,profit,roi,vote_average,main_genre,lead_actor,director,is_hit
64682,The Great Gatsby,105000000,351040419,246040419,2.3432420857142855,7.3,Drama,Leonardo DiCaprio,Baz Luhrmann,1
9543,Prince of Persia: The Sands of Time,150000000,335154643,185154643,1.2343642866666666,6.2,Adventure,Jake Gyllenhaal,Mike Newell,1
68726,Pacific Rim,180000000,407602906,227602906,1.264460588888889,6.7,Action,Idris Elba,Guillermo del Toro,1
38356,Transformers: Dark of the Moon,195000000,1123746996,928746996,4.762805107692308,6.1,Action,Shia LaBeouf,Michael Bay,1
217,Indiana Jones and the Kingdom of the Crystal Skull,185000000,786636033,601636033,3.2520866648648648,5.7,Adventure,Harrison Ford,Steven Spielberg,1
105864,The Good Dinosaur,175000000,331926147,156926147,0.89672084,6.6,Adventure,Raymond Ochoa,Peter Sohn,0
62177,Brave,185000000,538983207,353983207,1.9134227405405406,6.7,Animation,Kelly Macdonald,Brenda Chapman,1
188927,Star Trek Beyond,185000000,343471816,158471816,0.8566044108108108,6.6,Action,Chris Pine,Justin Lin,0
10681,WALL·E,180000000,521311860,341311860,1.896177,7.8,Animation,Ben Burtt,Andrew Stanton,1
5174,Rush Hour 3,140000000,258022233,118022233,0.84301595,6.1,Action,Chris Tucker,Brett Ratner,0
14161,2012,200000000,769653595,569653595,2.848267975,5.6,Action,John Cusack,Roland Emmerich,1
17979,A Christmas Carol,200000000,325233863,125233863,0.626169315,6.6,Animation,Gary Oldman,Robert Zemeckis,0
76757,Jupiter Ascending,176000003,183987723,7987720,0.04538477195366866,5.2,Science Fiction,Mila Kunis,Lilly Wachowski,0
258489,The Legend of Tarzan,180000000,356743061,176743061,0.9819058944444444,5.5,Action,Alexander Skarsgård,David Yates,0
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,748806957,568806957,3.16003865,6.7,Adventure,William Moseley,Andrew Adamson,1
246655,X-Men: Apocalypse,178000000,543934787,365934787,2.0558134101123597,6.4,Science Fiction,James McAvoy,Bryan Singer,1
155,The Dark Knight,185000000,1004558444,819558444,4.430045643243243,8.2,Drama,Christian Bale,Christopher Nolan,1
14160,Up,175000000,735099082,560099082,3.200566182857143,7.7,Animation,Ed Asner,Pete Docter,1
15512,Monsters vs Aliens,175000000,381509870,206509870,1.1800564,6.0,Animation,Seth Rogen,Conrad Vernon,1
1726,Iron Man,140000000,585174222,445174222,3.1798158714285716,7.4,Action,Robert Downey Jr.,Jon Favreau,1
44826,Hugo,170000000,185770160,15770160,0.09276564705882354,7.0,Adventure,Ben Kingsley,Martin Scorsese,0
8487,Wild Wild West,170000000,222104681,52104681,0.30649812352941175,5.1,Action,Will Smith,Barry Sonnenfeld,0
1735,The Mummy: Tomb of the Dragon Emperor,145000000,401128639,256128639,1.7664044068965516,5.2,Adventure,Brendan Fraser,Rob Cohen,1
297761,Suicide Squad,175000000,745000000,570000000,3.257142857142857,5.9,Action,Will Smith,David Ayer,1
2698,Evan Almighty,175000000,173000000,-2000000,-0.011428571428571429,5.3,Fantasy,Steve Carell,Tom Shadyac,0
137113,Edge of Tomorrow,178000000,370541256,192541256,1.0816924494382023,7.6,Action,Tom Cruise,Doug Liman,1
9804,Waterworld,175000000,264218220,89218220,0.5098184,5.9,Adventure,Kevin Costner,Kevin Reynolds,0
14869,G.I. Joe: The Rise of Cobra,175000000,302469017,127469017,0.7283943828571429,5.6,Adventure,Dennis Quaid,Stephen Sommers,0
150540,Inside Out,175000000,857611174,682611174,3.90063528,8.0,Drama,Amy Poehler,Pete Docter,1
278927,The Jungle Book,175000000,966550600,791550600,4.523146285714286,6.7,Family,Neel Sethi,Jon Favreau,1
10138,Iron Man 2,200000000,623933331,423933331,2.119666655,6.6,Adventure,Robert Downey Jr.,Jon Favreau,1
58595,Snow White and the Huntsman,170000000,396600000,226600000,1.3329411764705883,5.8,Adventure,Kristen Stewart,Rupert Sanders,1
102651,Maleficent,180000000,758539785,578539785,3.2141099166666667,7.0,Fantasy,Angelina Jolie,Robert Stromberg,1
119450,Dawn of the Planet of the Apes,170000000,710644566,540644566,3.1802621529411765,7.3,Science Fiction,Andy Serkis,Matt Reeves,1
64686,47 Ronin,175000000,150962475,-24037525,-0.1373572857142857,5.9,Drama,Keanu Reeves,Carl Rinsch,0
100402,Captain America: The Winter Soldier,170000000,714766572,544766572,3.2045092470588235,7.6,Action,Chris Evans,Anthony Russo,1
10192,Shrek Forever After,165000000,752600867,587600867,3.561217375757576,6.0,Comedy,Mike Myers,Mike Mitchell,1
158852,Tomorrowland,190000000,209154322,19154322,0.10081222105263157,6.2,Adventure,Britt Robertson,Brad Bird,0
177572,Big Hero 6,165000000,652105443,487105443,2.9521542,7.8,Adventure,Scott Adsit,Chris Williams,1
82690,Wreck-It Ralph,165000000,471222889,306222889,1.855896296969697,7.1,Family,John C. Reilly,Rich Moore,1
5255,The Polar Express,165000000,305875730,140875730,0.8537923030303031,6.4,Adventure,Tom Hanks,Robert Zemeckis,0
47933,Independence Day: Resurgence,165000000,389681935,224681935,1.361708696969697,4.9,Action,Liam Hemsworth,Roland Emmerich,1
10191,How to Train Your Dragon,165000000,494878759,329878759,1.999265206060606,7.5,Fantasy,Jay Baruchel,Chris Sanders,1
296,Terminator 3: Rise of the Machines,200000000,435000000,235000000,1.175,5.9,Action,Arnold Schwarzenegger,Jonathan Mostow,1
118340,Guardians of the Galaxy,170000000,773328629,603328629,3.5489919352941177,7.9,Action,Chris Pratt,James Gunn,1
157336,Interstellar,165000000,675120017,510120017,3.0916364666666665,8.1,Adventure,Matthew McConaughey,Christopher Nolan,1
27205,Inception,160000000,825532764,665532764,4.159579775,8.1,Action,Leonardo DiCaprio,Christopher Nolan,1
315011,Shin Godzilla,15000000,77000000,62000000,4.133333333333334,6.5,Action,Hiroki Hasegawa,Hideaki Anno,1
49051,The Hobbit: An Unexpected Journey,250000000,1021103568,771103568,3.084414272,7.0,Adventure,Ian McKellen,Peter Jackson,1
9799,The Fast and the Furious,38000000,207283925,169283925,4.454840131578948,6.6,Action,Paul Walker,Rob Cohen,1
4922,The Curious Case of Benjamin Button,150000000,333932083,183932083,1.2262138866666668,7.3,Fantasy,Cate Blanchett,David Fincher,1
49538,X-Men: First Class,160000000,353624124,193624124,1.210150775,7.1,Action,James McAvoy,Matthew Vaughn,1
131634,The Hunger Games: Mockingjay - Part 2,160000000,653428261,493428261,3.08392663125,6.6,Action,Jennifer Lawrence,Francis Lawrence,1
27022,The Sorcerer's Apprentice,150000000,215283742,65283742,0.43522494666666667,5.8,Fantasy,Nicolas Cage,Jon Turteltaub,0
503,Poseidon,160000000,181674817,21674817,0.13546760625,5.5,Adventure,Kurt Russell,Wolfgang Petersen,0
241259,Alice Through the Looking Glass,170000000,299370084,129370084,0.761000494117647,6.5,Fantasy,Johnny Depp,James Bobin,0
810,Shrek the Third,160000000,798958165,638958165,3.99348853125,6.0,Fantasy,Mike Myers,Chris Miller,1
68735,Warcraft,160000000,433677183,273677183,1.71048239375,6.3,Action,Paula Patton,Duncan Jones,1
87101,Terminator Genisys,155000000,440603537,285603537,1.842603464516129,5.8,Science Fiction,Arnold Schwarzenegger,Alan Taylor,1
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,415686217,260686217,1.6818465612903226,6.2,Adventure,Skandar Keynes,Michael Apted,1
676,Pearl Harbor,140000000,449220945,309220945,2.208721035714286,6.6,History,Ben Affleck,Michael Bay,1
1858,Transformers,150000000,709709780,559709780,3.7313985333333335,6.6,Adventure,Shia LaBeouf,Michael Bay,1
1966,Alexander,155000000,167298192,12298192,0.07934317419354839,5.6,War,Colin Farrell,Oliver Stone,0
675,Harry Potter and the Order of the Phoenix,150000000,938212738,788212738,5.254751586666667,7.4,Adventure,Daniel Radcliffe,David Yates,1
674,Harry Potter and the Goblet of Fire,150000000,895921036,745921036,4.9728069066666665,7.5,Adventure,Daniel Radcliffe,Mike Newell,1
8960,Hancock,150000000,624029371,474029371,3.1601958066666667,6.2,Fantasy,Will Smith,Peter Berg,1
6479,I Am Legend,150000000,585349010,435349010,2.902326733333333,6.9,Drama,Will Smith,Francis Lawrence,1
118,Charlie and the Chocolate Factory,150000000,474968763,324968763,2.16645842,6.7,Adventure,Johnny Depp,Tim Burton,1
2062,Ratatouille,150000000,623722818,473722818,3.15815212,7.5,Animation,Patton Oswalt,Jan Pinkava,1
272,Batman Begins,150000000,374218673,224218673,1.4947911533333333,7.5,Action,Christian Bale,Christopher Nolan,1
10527,Madagascar: Escape 2 Africa,150000000,603900354,453900354,3.02600236,6.2,Family,Ben Stiller,Eric Darnell,1
18360,Night at the Museum: Battle of the Smithsonian,150000000,413106170,263106170,1.7540411333333332,5.9,Adventure,Ben Stiller,Shawn Levy,1
2080,X-Men Origins: Wolverine,150000000,373062864,223062864,1.48708576,6.2,Adventure,Hugh Jackman,Gavin Hood,1
605,The Matrix Revolutions,150000000,424988211,274988211,1.83325474,6.4,Adventure,Keanu Reeves,Lilly Wachowski,1
109445,Frozen,150000000,1274219009,1124219009,7.4947933933333335,7.3,Animation,Kristen Bell,Chris Buck,1
604,The Matrix Reloaded,150000000,738599701,588599701,3.923998006666667,6.7,Adventure,Keanu Reeves,Lilly Wachowski,1
76338,Thor: The Dark World,170000000,644571402,474571402,2.7915964823529413,6.8,Action,Chris Hemsworth,Alan Taylor,1
76341,Mad Max: Fury Road,150000000,378858340,228858340,1.5257222666666668,7.2,Action,Tom Hardy,George Miller,1
13448,Angels & Demons,150000000,356613439,206613439,1.3774229266666667,6.5,Thriller,Tom Hanks,Ron Howard,1
10195,Thor,150000000,449326618,299326618,1.9955107866666666,6.6,Adventure,Chris Hemsworth,Kenneth Branagh,1
13053,Bolt,150000000,309979994,159979994,1.0665332933333334,6.3,Animation,John Travolta,Chris Williams,1
19585,G-Force,150000000,292817841,142817841,0.95211894,5.1,Fantasy,Sam Rockwell,Hoyt Yeatman,0
57165,Wrath of the Titans,150000000,301000000,151000000,1.0066666666666666,5.5,Adventure,Sam Worthington,Jonathan Liebesman,1
62213,Dark Shadows,150000000,245527149,95527149,0.63684766,5.7,Comedy,Johnny Depp,Tim Burton,0
177677,Mission: Impossible - Rogue Nation,150000000,682330139,532330139,3.548867593333333,7.1,Action,Tom Cruise,Christopher McQuarrie,1
5559,Bee Movie,150000000,287594577,137594577,0.91729718,5.7,Family,Jerry Seinfeld,Steve Hickner,0
49444,Kung Fu Panda 2,150000000,665692281,515692281,3.43794854,6.7,Animation,Jack Black,Jennifer Yuh Nelson,1
10196,The Last Airbender,150000000,318502923,168502923,1.12335282,4.7,Action,Noah Ringer,M. Night Shyamalan,1
956,Mission: Impossible III,150000000,397850012,247850012,1.6523334133333334,6.5,Adventure,Tom Cruise,J.J. Abrams,1
117251,White House Down,150000000,205366737,55366737,0.36911158,6.4,Action,Channing Tatum,Roland Emmerich,0
50321,Mars Needs Moms,150000000,38992758,-111007242,-0.74004828,5.5,Adventure,Seth Green,Simon Wells,0
11619,Flushed Away,149000000,64459316,-84540684,-0.5673871409395973,6.0,Adventure,Hugh Jackman,David Bowers,0
266647,Pan,150000000,128388320,-21611680,-0.14407786666666667,5.9,Adventure,Levi Miller,Joe Wright,0
82703,Mr. Peabody & Sherman,145000000,272912430,127912430,0.8821546896551724,6.7,Animation,Ty Burrell,Rob Minkoff,0
652,Troy,175000000,497409852,322409852,1.8423420114285713,6.9,Adventure,Brad Pitt,Wolfgang Petersen,1
80321,Madagascar 3: Europe's Most Wanted,145000000,746921274,601921274,4.1511812,6.4,Animation,Ben Stiller,Conrad Vernon,1
36669,Die Another Day,140000000,431971116,291971116,2.0855079714285716,5.8,Adventure,Pierce Brosnan,Lee Tamahori,1
43074,Ghostbusters,144000000,229147509,85147509,0.5913021458333333,5.3,Action,Melissa McCarthy,Paul Feig,0
95,Armageddon,140000000,553799566,413799566,2.9557111857142857,6.4,Action,Bruce Willis,Michael Bay,1
608,Men in Black II,140000000,441818803,301818803,2.1558485928571427,6.0,Action,Tommy Lee Jones,Barry Sonnenfeld,1
2310,Beowulf,70000000,195735876,125735876,1.7962268,5.5,Adventure,Ray Winstone,Robert Zemeckis,1
140300,Kung Fu Panda 3,145000000,521170825,376170825,2.594281551724138,6.7,Action,Jack Black,Jennifer Yuh Nelson,1
56292,Mission: Impossible - Ghost Protocol,145000000,694713380,549713380,3.7911267586206896,6.8,Action,Tom Cruise,Brad Bird,1
81188,Rise of the Guardians,145000000,306941670,161941670,1.1168391034482759,7.1,Fantasy,Chris Pine,Peter Ramsey,1
7552,Fun with Dick and Jane,100000000,202026112,102026112,1.02026112,5.9,Comedy,Jim Carrey,Dean Parisot,1
616,The Last Samurai,140000000,456758981,316758981,2.26256415,7.3,Drama,Tom Cruise,Edward Zwick,1
147441,Exodus: Gods and Kings,140000000,268031828,128031828,0.9145130571428571,5.6,Adventure,Christian Bale,Ridley Scott,0
13475,Star Trek,150000000,385680446,235680446,1.5712029733333333,7.4,Science Fiction,Chris Pine,J.J. Abrams,1
557,Spider-Man,139000000,821708551,682708551,4.911572309352518,6.8,Fantasy,Tobey Maguire,Sam Raimi,1
82702,How to Train Your Dragon 2,145000000,609123048,464123048,3.200848606896552,7.6,Fantasy,Jay Baruchel,Dean DeBlois,1
205584,Gods of Egypt,140000000,150680864,10680864,0.07629188571428572,5.3,Fantasy,Brenton Thwaites,Alex Proyas,0
10048,Stealth,135000000,76932943,-58067057,-0.43012634814814815,4.9,Action,Josh Lucas,Rob Cohen,0
13183,Watchmen,130000000,185258983,55258983,0.4250691,7.0,Action,Malin Åkerman,Zack Snyder,0
944,Lethal Weapon 4,140000000,285444603,145444603,1.0388900214285715,6.3,Action,Mel Gibson,Richard Donner,1
1927,Hulk,137000000,245360480,108360480,0.7909524087591241,5.3,Drama,Eric Bana,Ang Lee,0
72559,G.I. Joe: Retaliation,130000000,371876278,241876278,1.8605867538461538,5.4,Adventure,Dwayne Johnson,Jon M. Chu,1
7364,Sahara,130000000,119269486,-10730514,-0.08254241538461539,5.7,Action,Matthew McConaughey,Breck Eisner,0
2114,Final Fantasy: The Spirits Within,137000000,85131830,-51868170,-0.3785997810218978,5.9,Adventure,Donald Sutherland,Hironobu Sakaguchi,0
1771,Captain America: The First Avenger,140000000,370569774,230569774,1.646926957142857,6.6,Action,Chris Evans,Joe Johnston,1
36643,The World Is Not Enough,135000000,361832400,226832400,1.68024,6.0,Adventure,Pierce Brosnan,Michael Apted,1
8619,Master and Commander: The Far Side of the World,150000000,212011111,62011111,0.41340740666666664,6.9,Adventure,Russell Crowe,Peter Weir,0
50620,The Twilight Saga: Breaking Dawn - Part 2,120000000,829000000,709000000,5.908333333333333,6.1,Adventure,Kristen Stewart,Bill Condon,1
65759,Happy Feet Two,130000000,150406466,20406466,0.15697281538461538,5.8,Animation,Elijah Wood,George Miller,0
1724,The Incredible Hulk,150000000,163712074,13712074,0.09141382666666667,6.1,Science Fiction,Edward Norton,Louis Leterrier,0
267935,The BFG,140000000,183345589,43345589,0.30961135,6.0,Adventure,Ruby Barnhill,Steven Spielberg,0
281957,The Revenant,135000000,532950503,397950503,2.9477815037037036,7.3,Western,Leonardo DiCaprio,Alejandro González Iñárritu,1
77950,Turbo,135000000,282570682,147570682,1.0931161629629629,6.1,Animation,Ryan Reynolds,David Soren,1
44896,Rango,135000000,245724603,110724603,0.8201822444444444,6.6,Animation,Johnny Depp,Gore Verbinski,0
270946,Penguins of Madagascar,132000000,373552094,241552094,1.829940106060606,6.5,Family,Tom McGrath,Eric Darnell,1
2503,The Bourne Ultimatum,70000000,442824138,372824138,5.326059114285714,7.3,Action,Matt Damon,Paul Greengrass,1
9502,Kung Fu Panda,130000000,631744560,501744560,3.8595735384615386,6.9,Adventure,Jack Black,Mark Osborne,1
102899,Ant-Man,130000000,519311965,389311965,2.9947074230769233,7.0,Science Fiction,Paul Rudd,Peyton Reed,1
101299,The Hunger Games: Catching Fire,130000000,847423452,717423452,5.518641938461538,7.4,Adventure,Jennifer Lawrence,Francis Lawrence,1
228161,Home,135000000,368871007,233871007,1.7323778296296297,6.8,Fantasy,Jim Parsons,Tim Johnson,1
74,War of the Worlds,132000000,591739379,459739379,3.4828740833333334,6.2,Adventure,Tom Cruise,Steven Spielberg,1
8961,Bad Boys II,130000000,273339556,143339556,1.1026119692307692,6.3,Adventure,Martin Lawrence,Michael Bay,1
417859,Puss in Boots,130000000,554987477,424987477,3.2691344384615384,6.4,Action,Antonio Banderas,Chris Miller,1
27576,Salt,110000000,293329073,183329073,1.6666279363636363,6.2,Action,Angelina Jolie,Phillip Noyce,1
86834,Noah,125000000,362637473,237637473,1.901099784,5.6,Drama,Russell Crowe,Darren Aronofsky,1
17578,The Adventures of Tintin,130000000,371940071,241940071,1.8610774692307692,6.7,Adventure,Jamie Bell,Steven Spielberg,1
673,Harry Potter and the Prisoner of Azkaban,130000000,789804554,659804554,5.075419646153846,7.7,Adventure,Daniel Radcliffe,Alfonso Cuarón,1
6972,Australia,130000000,49554002,-80445998,-0.6188153692307692,6.3,Drama,Nicole Kidman,Baz Luhrmann,0
82700,After Earth,130000000,243843127,113843127,0.8757163615384616,5.0,Science Fiction,Jaden Smith,M. Night Shyamalan,0
10567,Dinosaur,127500000,354248063,226748063,1.7784161803921568,6.2,Animation,D. B. Sweeney,Ralph Zondag,1
181533,Night at the Museum: Secret of the Tomb,127000000,349424282,222424282,1.7513722992125984,6.1,Adventure,Ben Stiller,Shawn Levy,1
38055,Megamind,130000000,321887208,191887208,1.4760554461538462,6.7,Animation,Will Ferrell,Tom McGrath,1
671,Harry Potter and the Philosopher's Stone,125000000,976475550,851475550,6.8118044,7.5,Adventure,Daniel Radcliffe,Chris Columbus,1
49524,R.I.P.D.,130000000,61648500,-68351500,-0.5257807692307692,5.4,Fantasy,Jeff Bridges,Robert Schwentke,0
22,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224,515011224,3.6786516,7.5,Adventure,Johnny Depp,Gore Verbinski,1
131631,The Hunger Games: Mockingjay - Part 1,125000000,752100229,627100229,5.016801832,6.6,Science Fiction,Jennifer Lawrence,Francis Lawrence,1
591,The Da Vinci Code,125000000,767820459,642820459,5.142563672,6.5,Thriller,Tom Hanks,Ron Howard,1
172385,Rio 2,103000000,500188435,397188435,3.8561983980582526,6.3,Animation,Jesse Eisenberg,Carlos Saldanha,1
36658,X2,110000000,407711549,297711549,2.706468627272727,6.8,Adventure,Patrick Stewart,Bryan Singer,1
51497,Fast Five,125000000,626137675,501137675,4.0091014,7.1,Action,Vin Diesel,Justin Lin,1
58574,Sherlock Holmes: A Game of Shadows,125000000,334615000,209615000,1.67692,7.0,Adventure,Robert Downey Jr.,Guy Ritchie,1
18823,Clash of the Titans,125000000,232713139,107713139,0.861705112,5.6,Adventure,Sam Worthington,Louis Leterrier,0
861,Total Recall,65000000,261317921,196317921,3.0202757076923077,7.1,Action,Arnold Schwarzenegger,Paul Verhoeven,1
1911,The 13th Warrior,160000000,61698899,-98301101,-0.61438188125,6.4,Adventure,Antonio Banderas,John McTiernan,0
49040,The Bourne Legacy,130000000,276572938,146572938,1.1274841384615384,6.0,Action,Jeremy Renner,Tony Gilroy,1
415,Batman & Robin,125000000,238207122,113207122,0.905656976,4.2,Action,George Clooney,Joel Schumacher,0
8871,How the Grinch Stole Christmas,123000000,345141403,222141403,1.8060276666666666,6.2,Family,Jim Carrey,Ron Howard,1
435,The Day After Tomorrow,125000000,544272402,419272402,3.354179216,6.2,Action,Dennis Quaid,Roland Emmerich,1
955,Mission: Impossible II,125000000,546388105,421388105,3.37110484,5.9,Adventure,Tom Cruise,John Woo,1
2133,The Perfect Storm,120000000,325756637,205756637,1.7146386416666666,6.2,Drama,George Clooney,Wolfgang Petersen,1
1979,Fantastic 4: Rise of the Silver Surfer,130000000,289047763,159047763,1.2234443307692309,5.4,Adventure,Ioan Gruffudd,Tim Story,1
87827,Life of Pi,120000000,609016565,489016565,4.0751380416666665,7.2,Adventure,Suraj Sharma,Ang Lee,1
1250,Ghost Rider,110000000,228738393,118738393,1.0794399363636364,5.2,Thriller,Nicolas Cage,Mark Steven Johnson,1
324668,Jason Bourne,120000000,415484914,295484914,2.4623742833333333,5.9,Action,Matt Damon,Paul Greengrass,1
9471,Charlie's Angels: Full Throttle,120000000,259175788,139175788,1.1597982333333334,5.2,Action,Cameron Diaz,McG,1
70981,Prometheus,130000000,403170142,273170142,2.1013087846153846,6.3,Science Fiction,Noomi Rapace,Ridley Scott,1
10996,Stuart Little 2,120000000,169956806,49956806,0.4163067166666667,5.4,Family,Michael J. Fox,Rob Minkoff,0
68724,Elysium,115000000,286140700,171140700,1.48818,6.4,Science Fiction,Matt Damon,Neill Blomkamp,1
2789,The Chronicles of Riddick,105000000,115772733,10772733,0.10259745714285715,6.3,Action,Vin Diesel,David Twohy,0
97020,RoboCop,120000000,242688965,122688965,1.0224080416666668,5.7,Action,Joel Kinnaman,José Padilha,1
7459,Speed Racer,120000000,93945766,-26054234,-0.21711861666666665,5.7,Action,Emile Hirsch,Lilly Wachowski,0
42888,How Do You Know,120000000,48668907,-71331093,-0.594425775,4.9,Comedy,Reese Witherspoon,James L. Brooks,0
37834,Knight and Day,117000000,261930431,144930431,1.2387216324786325,5.9,Action,Tom Cruise,James Mangold,1
75612,Oblivion,120000000,286168572,166168572,1.3847381,6.4,Action,Tom Cruise,Joseph Kosinski,1
1895,Star Wars: Episode III - Revenge of the Sith,113000000,850000000,737000000,6.522123893805309,7.1,Science Fiction,Ewan McGregor,George Lucas,1
1894,Star Wars: Episode II - Attack of the Clones,120000000,649398328,529398328,4.411652733333334,6.4,Adventure,Ewan McGregor,George Lucas,1
585,"Monsters, Inc.",115000000,562816256,447816256,3.8940544,7.5,Animation,John Goodman,Pete Docter,1
76170,The Wolverine,120000000,415440673,295440673,2.4620056083333335,6.3,Action,Hugh Jackman,James Mangold,1
